2023-07-06/15:15:57	a7bcf487-a2d8-40ee-a2e2-b1212af2b572	undefined:ECONNREFUSED	querySrv	_mongodb._tcp.cluster0.gaa7mnp.mongodb.net
2023-07-07/17:39:23	6a22c621-4464-47a5-a63b-878614b2e9cc	undefined:undefined	undefined	undefined
2023-07-09/08:50:44	7f7015a4-746d-47ea-b473-5af49ae73af8	undefined:undefined	undefined	undefined
2023-07-09/09:07:43	035d0181-9bce-47ef-a12f-15532e78a6ab	undefined:undefined	undefined	undefined
2023-07-09/09:08:45	176f972e-d936-4cfa-a13d-52cfcbc1bb9b	undefined:undefined	undefined	undefined
2023-07-09/09:10:23	021e9daa-7dd9-4df6-9ad8-06117b084922	undefined:undefined	undefined	undefined
2023-07-09/09:11:48	1078f59d-147e-47f5-ab99-73bfb881ae12	undefined:undefined	undefined	undefined
2023-07-09/09:12:28	9f655340-df57-405a-af4b-dd4386882de4	undefined:undefined	undefined	undefined
2023-07-09/09:14:06	384a7f4f-8d93-48d6-8b60-13c1dd912f38	undefined:undefined	undefined	undefined
2023-07-09/09:14:56	f8bbada1-a054-4974-a6a8-73c5e30e1cc1	undefined:undefined	undefined	undefined
2023-07-09/09:17:04	00ae6f3d-0b1a-4204-917b-839e89ebbaff	undefined:undefined	undefined	undefined
2023-07-09/09:18:46	ad7fb566-74ce-4bdb-aa09-c7a57cc46621	undefined:undefined	undefined	undefined
2023-07-09/09:26:11	cab7e160-e0a5-492f-b3c4-9f2abc63f863	undefined:undefined	undefined	undefined
2023-07-09/09:27:03	4f93d43d-38f1-4ef5-98ce-fb8a64b13c41	undefined:undefined	undefined	undefined
2023-07-20/20:12:29	ea55fb2e-6360-4f17-ba72-8a1b9deb8b15	undefined:undefined	undefined	undefined
2023-07-20/20:14:43	0a6577e8-5752-4f18-ae38-85fd979809a0	undefined:8000	undefined	undefined
2023-07-20/20:16:20	0c0a0f34-6321-459e-a004-7574066cf91c	undefined:8000	undefined	undefined
